id,x,y
4323,180.0238,5.4288588
8011,184.0747,3.9606142
8079,170.91241,1.9076906
17035,181.58783,4.7627974
14668,181.00551,5.5214806
13680,180.14952,8.658946
11530,169.46048,0.9136931
10732,178.48006,7.708019
10680,178.07457,11.107916
14467,175.76277,0.533523
6481,177.75914,11.478282
12229,181.48367,7.3563094
11593,177.3469,6.485045
13337,175.57928,7.0450735
16638,179.37465,2.9131632
20109,180.19086,7.514702
17034,178.02452,6.5420384
87,178.17485,11.006105
3670,170.73352,2.0870068
20465,177.28613,3.8251202
19414,176.56456,5.4231195
20303,179.78203,7.4502387
17302,178.72491,3.1339984
18668,172.25516,2.429447
12031,176.57124,5.144304
20062,176.67717,5.314054
15306,175.65247,7.0746174
19572,180.23235,0.47520706
11473,169.50699,0.9695676
18857,176.38031,1.7890753
19756,169.26044,0.7451633
16432,175.76846,0.57104796
16707,179.68668,7.5366435
19076,180.23746,0.45554736
4188,179.1057,3.081386
18585,179.80247,7.4549265
18982,181.47057,2.786436
13639,178.4188,3.2680569
16672,176.4089,1.838468
16980,179.66785,7.1971216
16553,181.99672,6.959952
5763,179.2457,2.6570404
16895,181.48701,2.7593796
18446,170.70891,2.236192
11987,181.9957,6.9537587
20056,178.60303,2.8191886
10246,176.52025,5.098492
20068,180.84319,3.924808
11477,170.15637,1.4297215
3386,170.79924,1.943475
16782,179.55598,5.2579403
20456,179.03801,4.238038
14152,179.63542,4.446088
20265,178.71515,4.974396
14536,184.06621,3.9650037
13352,178.52985,4.732308
20398,178.87674,5.682979
14458,178.43024,5.1337667
15244,179.01991,4.9069567
14334,179.32974,4.7040544
3956,179.98975,4.91256
14533,178.88774,4.6456804
13690,179.00952,5.5839505
13469,179.14818,5.337762
19080,179.5579,4.3070636
