id,x,y
9910,-21.298004,-25.080727
7253,93.12737,125.98545
4574,90.22121,118.906555
10770,92.874016,126.09914
14935,97.43497,119.87465
18943,98.5939,117.27578
7851,96.192314,118.64481
12195,95.298225,122.501884
11598,96.6195,115.81079
13419,96.35273,120.68955
8085,99.43548,118.95969
10661,96.347,119.01258
8105,96.94659,121.31428
11418,96.42987,118.166374
3998,98.298805,130.83716
12283,96.50104,117.11254
6943,98.44492,118.65252
11255,91.47222,112.3548
4373,94.48448,119.35308
11961,99.87049,117.008835
12103,95.17976,116.88312
11986,107.44929,126.61326
15697,-21.318962,-25.055733
14667,94.90683,116.78378
10300,94.47993,119.20094
4208,97.37153,116.3086
6507,97.676895,118.06121
11612,95.1327,118.530876
6440,106.70491,121.681206
13601,96.836494,116.387344
14329,98.25055,120.137405
19643,104.43101,118.76586
13866,101.20834,125.12003
1928,104.043015,121.609314
15018,103.12329,120.822845
14716,99.98261,122.676636
14962,101.25726,121.436646
11615,104.429726,125.90969
19833,99.19472,125.1387
19879,101.7114,127.45807
12017,100.01097,121.04071
3833,102.64656,125.64769
11491,100.49614,123.079056
19627,99.90816,122.6449
13439,99.7984,120.15335
16556,104.091995,120.24268
7207,103.364105,123.40759
13824,97.899925,121.407196
19235,103.73402,122.55231
20436,102.576805,121.926186
14155,101.60855,119.400986
12159,103.40512,119.63585
11822,106.3813,123.83616
11692,97.699425,123.75011
14499,100.41068,124.33729
12112,99.30941,121.964516
19753,92.5893,126.173485
10563,99.85396,123.50669
11819,99.781624,126.0524
6311,101.00359,119.44894
14770,105.347015,120.14983
14309,98.82402,126.94923
15059,102.5432,123.16295
10756,103.23455,124.69704
19362,103.51041,121.56268
11381,101.47924,123.10501
20443,101.95584,120.09226
10727,100.55763,125.85186
11227,98.097336,122.38432
12282,103.48248,121.889626
14180,103.87035,123.66804
12057,103.43205,118.72205
13855,91.4647,112.342224
17244,99.60705,122.03323
8133,99.96461,124.64498
10804,97.68907,123.96214
11579,103.52409,120.039604
13718,104.96887,124.43927
11770,101.86038,121.46853
12202,101.58661,123.12932
11848,106.08508,122.10754
13772,100.61171,120.448006
7452,101.54048,122.4834
14748,101.73805,124.27852
12133,103.43001,127.17942
11168,101.860054,122.00449
20081,102.06467,124.142075
14419,104.69253,122.70982
14255,102.0795,125.21778
15026,93.07323,126.071655
19336,100.93258,120.4831
11709,101.21102,124.008255
14598,101.258804,118.41134
20111,101.056,122.35882
11870,98.16621,125.59426
7180,102.40323,118.047615
11306,100.67013,124.70671
8025,105.0921,123.507935
7265,99.365944,125.39192
13986,102.19121,120.47911
20151,100.317406,122.061806
13607,104.51477,121.31353
13805,99.29766,120.93079
3494,102.810616,123.55162
5652,99.29967,123.77406
17366,102.29329,122.18134
13403,102.13488,126.287384
19749,98.2786,130.87743
19837,100.31388,127.30397
11966,98.798195,123.32062
10840,104.09695,125.34093
16931,102.683,124.920944
4043,99.76288,120.893364
11270,102.358444,120.65841
16530,98.29165,124.90025
14713,98.11883,122.30607
10488,107.45032,126.6124
19919,90.21924,118.91053
