id,x,y
1913,38.986004,200.27141
568,36.746418,195.81091
1733,36.708008,196.47469
1583,37.705494,201.66714
1580,37.584248,201.331
5180,34.498478,198.52551
450,34.454918,200.54211
4483,35.09845,199.3717
1564,36.905334,200.5103
3869,37.21831,200.09685
3870,36.283657,199.14929
3873,35.387707,201.50574
2632,37.66989,200.70583
3881,37.523613,199.28021
1569,37.069645,200.81262
3883,35.619694,201.0288
1984,36.528946,200.24391
3895,35.62508,200.7851
2629,36.38012,201.56613
419,34.46059,200.99062
1556,37.127632,199.42659
454,36.929657,198.76909
509,35.576122,200.40634
3866,36.82657,201.41692
3867,35.96274,198.8194
655,36.400173,199.6543
5232,36.151524,201.99191
3874,37.690113,200.00385
1589,36.11729,199.60345
3890,36.282883,200.60707
1559,36.08412,200.95163
3872,36.370716,201.0113
1565,35.36558,200.21057
5256,35.777668,199.89388
772,36.696762,196.52246
1562,35.484978,199.52364
5248,36.821835,199.8797
