id,x,y
4230,-178.43488,-57.368492
11415,-167.9634,-53.01807
8167,-171.93889,-52.137188
6505,-175.175,-49.0247
13353,-167.79558,-59.103886
17379,-166.36368,-51.180252
16422,-169.38345,-62.222843
1916,-168.23485,-48.61671
15180,-168.64105,-55.94505
10875,-167.9231,-49.49046
7738,-170.18124,-60.75092
10881,-169.66348,-51.642853
14868,-167.28587,-50.950687
16685,-166.94815,-57.79073
279,-170.72662,-60.48698
13874,-180.99129,-54.39674
10429,-177.65552,-51.47899
11800,-181.19157,-54.155384
11432,-174.28725,-53.873917
13522,-168.48798,-50.084007
2715,-169.11266,-49.51011
10455,-177.7418,-54.6808
10417,-169.43373,-54.611103
17108,-167.33719,-59.462795
17222,-169.75874,-58.838573
18479,-170.79803,-54.306026
7365,-175.82314,-50.413425
19200,-168.61258,-49.003593
13761,-169.09995,-51.99381
11993,-173.44374,-54.10468
10715,-169.19072,-48.878654
14650,-169.50478,-61.898987
19611,-170.46924,-49.684433
14087,-169.6198,-52.428818
5772,-178.00919,-58.808014
10733,-172.2202,-53.860626
14463,-170.76622,-54.102516
11706,-170.86407,-49.71544
13495,-167.61444,-53.234303
12135,-167.19078,-51.099308
16891,-170.80826,-54.92943
10688,-175.53058,-50.43215
14553,-173.09494,-49.913544
14204,-175.23749,-50.378166
10897,-173.89206,-50.221237
10704,-174.69955,-54.034428
10362,-173.6104,-58.998318
18881,-168.47249,-58.25424
6543,-175.08365,-50.356197
2716,-168.95703,-49.90565
16397,-169.57332,-58.560455
14346,-169.40411,-47.87035
11802,-173.34508,-53.761127
11338,-173.81221,-50.118126
13914,-169.57439,-60.118637
14457,-168.47015,-58.33058
14282,-169.93753,-52.504967
11271,-176.43074,-59.652954
16885,-171.1087,-54.434254
18547,-169.24547,-54.76361
16735,-167.99438,-57.563152
16594,-173.15695,-50.151
19723,-170.22125,-51.710648
11156,-176.7207,-55.345432
11751,-170.21965,-51.756912
18739,-175.24196,-58.018307
8141,-176.53671,-56.257465
16606,-174.72668,-58.60129
11180,-176.40128,-57.91319
7162,-174.51094,-56.86456
13357,-171.23128,-51.904495
11242,-171.13783,-51.759483
14886,-168.2867,-58.60853
7465,-174.62831,-56.402565
15201,-175.36354,-58.71874
14692,-176.12207,-58.429577
11752,-169.48682,-51.88115
15256,-175.61531,-55.1361
19089,-176.04097,-55.60441
19090,-176.047,-58.30215
14840,-174.0803,-57.81956
10938,-170.06317,-60.669712
19960,-175.0483,-57.310158
15030,-176.09758,-57.337578
16736,-174.62077,-49.93908
10670,-174.28775,-56.79338
6125,-173.79364,-56.079292
19361,-169.27998,-52.57092
14571,-177.56642,-56.429813
11921,-175.66455,-56.011715
7313,-175.68523,-56.09887
14026,-177.01009,-55.392612
11801,-175.67697,-56.857952
12140,-169.13863,-52.50333
10954,-176.53531,-56.76022
11431,-174.70792,-57.767254
10454,-176.93683,-57.461334
10412,-174.8471,-55.298393
7063,-174.45024,-49.986916
11896,-177.03069,-56.682766
11835,-173.58533,-56.56478
17329,-176.12575,-54.822327
8031,-168.33363,-58.63284
11644,-174.99632,-55.77232
13459,-173.6194,-57.677727
19990,-174.53389,-49.923035
11390,-175.91833,-56.7694
14030,-174.84412,-56.643414
16712,-168.90141,-55.63282
20266,-175.32803,-56.393604
11844,-174.2847,-55.389103
20044,-175.42015,-57.528786
13935,-180.96317,-54.4168
11497,-170.99504,-51.932537
11097,-169.15422,-48.87235
11419,-177.6588,-51.496513
10757,-181.12483,-54.227047
