id,x,y
6453,-99.180855,-38.766766
5511,-101.96563,-23.63804
10530,-119.212,-27.699232
4926,-141.8857,-64.09081
6762,-98.925354,-13.426817
7303,-147.59521,-61.32426
4000,-116.70401,-44.98383
12956,-146.45003,-49.465424
13878,-154.32535,-57.424877
7984,-110.87722,-43.27075
13591,-149.05704,-64.77491
6429,-135.46577,-51.42514
10514,-141.3935,-67.01064
6140,-143.47101,-54.240402
7993,-131.17941,-53.79216
7908,-145.44556,-67.66255
13835,-146.44803,-56.93679
7004,-131.97661,-51.17609
8966,-107.85592,-31.386515
11139,-98.62145,-26.073448
6471,-134.56682,-48.479023
8961,-107.03298,-31.35704
15412,-110.2607,-27.811235
8048,-114.99173,-35.76022
11992,-100.410095,-29.784046
7138,-110.59256,-29.459532
6127,-110.928276,-28.811
14551,-143.66425,-70.0597
6371,-134.82574,-46.871826
10834,-144.4039,-59.066116
7927,-114.62299,-38.893475
20312,-114.346245,-36.892506
15311,-133.03973,-50.22769
6057,-145.78365,-63.93418
7418,-133.51381,-49.971542
19583,-134.60811,-52.96669
15034,-128.71046,-48.065445
9167,-97.17627,-21.398407
11377,-112.404884,-39.694717
16814,-143.7515,-67.52617
4270,-143.83707,-60.733704
13489,-108.01245,-43.04085
15475,-111.21318,-29.465437
5639,-98.03508,-26.291224
8697,-101.07942,-34.863586
9557,-106.31242,-32.595715
705,-142.35995,-72.42866
7980,-118.14988,-44.072845
12252,-128.24065,-47.840893
10481,-139.26924,-56.76118
12066,-100.87223,-29.25527
12435,-99.40723,-21.043907
11664,-138.86676,-56.31182
11960,-100.135605,-12.230218
9334,-117.58408,-29.215694
10292,-99.49086,-25.398197
8529,-105.49154,-30.94966
6302,-116.05842,-35.653927
8244,-91.767105,-8.282929
6568,-134.93208,-46.201015
2277,-112.55437,-39.09363
8452,-111.35807,-28.8859
16471,-135.7073,-49.827488
17175,-106.23799,-33.121063
8284,-105.463104,-21.66593
3597,-145.4903,-58.04986
4387,-144.27092,-60.453266
10318,-145.19499,-56.712574
11081,-100.37601,-30.288984
18579,-129.37614,-48.333263
8934,-100.31578,-34.727303
7997,-109.1192,-42.70672
6535,-129.85515,-53.395927
3816,-142.3231,-52.73711
7590,-117.297066,-27.512558
5536,-110.07997,-27.553814
14664,-142.91524,-61.38081
14420,-101.73387,-43.16747
16528,-142.65549,-53.305733
15834,-112.91232,-29.384645
15804,-110.99498,-29.374035
16794,-99.7678,-30.170853
12969,-98.34993,-34.61317
14535,-144.07072,-68.72842
18747,-130.69347,-55.563446
5416,-96.662926,-35.059044
16732,-147.5209,-63.54771
10024,-91.759544,-8.289203
11315,-141.97604,-66.75198
14080,-110.22854,-41.891052
11340,-144.03163,-54.295258
8895,-102.26837,-28.072542
9410,-96.95485,-34.949005
6412,-107.14936,-30.29406
12880,-98.71943,-33.83738
8277,-101.50581,-20.053198
8524,-110.767784,-29.494911
9340,-118.291794,-30.735943
14920,-99.93638,-30.771822
11193,-141.9164,-62.45412
7087,-155.90132,-56.851162
17147,-134.20589,-50.25697
6945,-115.98387,-45.60183
19244,-138.34856,-55.8048
8668,-99.29675,-32.274666
5786,-100.412544,-29.157331
17401,-152.44444,-57.451374
7994,-119.11615,-45.249516
6752,-99.69681,-14.941828
10569,-100.07886,-12.311118
6065,-103.88463,-39.77494
10307,-99.54016,-37.41431
6897,-103.17658,-21.500853
14560,-134.16415,-50.778286
676,-144.999,-58.543827
11014,-143.52533,-66.37629
16780,-133.66652,-49.393677
19582,-112.04061,-41.494843
8065,-107.83529,-43.116646
19632,-134.52522,-52.302937
10986,-143.60298,-66.51393
15814,-105.60597,-21.57224
7910,-111.95167,-43.494434
11562,-113.36672,-39.560352
16506,-111.789764,-39.854504
11694,-114.58725,-36.57837
6853,-103.63657,-19.76982
4003,-116.55591,-44.092445
19192,-114.56278,-36.53024
13568,-103.109535,-24.413418
17287,-114.6822,-36.47662
11237,-142.45714,-52.99885
16772,-144.3505,-63.97571
10502,-130.88693,-55.197964
18822,-132.68718,-52.771065
7618,-117.231224,-45.536434
16802,-101.254654,-41.706802
7049,-144.15233,-62.50258
9471,-97.25288,-39.600227
13474,-147.01726,-57.737984
14232,-144.29747,-61.950317
11256,-144.81708,-66.38479
5509,-100.660324,-22.787683
16629,-132.67198,-50.72338
6487,-113.47007,-29.477156
13316,-143.0464,-70.21314
16941,-101.85656,-41.819313
2561,-111.10451,-29.614527
17069,-121.13367,-28.352587
19338,-134.05983,-50.929398
19731,-155.6824,-56.942936
7965,-115.74093,-35.80058
5795,-134.03835,-49.365906
15208,-133.95515,-49.245434
11058,-145.202,-58.14454
9146,-103.58352,-19.844677
12524,-101.18374,-35.396263
14117,-131.77705,-52.88553
10452,-143.69923,-62.4226
10277,-144.93565,-62.097046
4967,-145.1057,-60.24889
12493,-101.62395,-20.437168
17444,-98.72199,-41.189323
17079,-121.656204,-28.260275
11581,-110.14407,-42.421516
11311,-144.6347,-62.36458
6306,-115.53965,-38.900574
20191,-135.23976,-50.428925
19741,-144.03647,-70.77637
6718,-101.83129,-21.647827
9398,-118.31448,-30.703642
5692,-144.26628,-59.96634
9549,-120.03835,-30.440434
8346,-102.20959,-26.989466
11653,-101.88564,-42.136158
19110,-98.60968,-26.1257
4004,-117.58405,-44.656902
19196,-131.82538,-52.58743
15246,-112.21904,-43.268948
12264,-146.79712,-66.07707
7642,-97.9636,-13.188411
5610,-101.59199,-36.744667
18678,-109.56523,-42.16358
12486,-103.75394,-23.149698
17397,-101.73757,-41.53385
12150,-145.37189,-65.98587
10778,-131.72046,-54.421993
17400,-118.46767,-26.818415
815,-142.35243,-72.44689
7417,-146.38795,-58.816025
13564,-115.74078,-38.979233
8376,-101.1523,-35.56314
19180,-119.415504,-45.356804
6147,-103.83516,-39.69421
7632,-120.84599,-30.604866
11531,-120.05902,-27.354963
18941,-134.5452,-50.04651
7584,-120.2046,-30.044998
10226,-98.74409,-35.236053
16849,-132.83861,-53.374626
6639,-97.41621,-39.59048
7444,-99.78664,-25.318485
6400,-102.397156,-27.325655
16185,-99.30865,-22.232307
6713,-99.52088,-14.60181
19118,-111.267105,-43.86764
2609,-99.577774,-14.714964
7001,-99.66917,-37.69934
5465,-99.61937,-22.291403
15274,-153.99194,-57.598217
11571,-148.77797,-64.312225
19315,-148.80759,-64.466675
20207,-143.74236,-67.1883
3449,-146.01048,-61.42953
11450,-143.20694,-64.40676
14202,-119.70042,-28.502756
19037,-154.00948,-57.590607
17086,-134.7989,-47.003323
8066,-142.9614,-63.29039
8632,-105.37023,-21.693428
19519,-118.09215,-44.099518
20244,-111.33772,-42.62849
11053,-111.72231,-42.592007
6715,-100.100685,-38.982983
10785,-143.23146,-63.713135
