id,x,y
4134,-75.78864,-86.659164
9929,-81.78474,-86.458374
4808,-77.48136,-87.785805
4799,-79.42306,-90.66294
2505,-74.05165,-88.3361
4538,-78.59841,-94.85281
7497,-79.45777,-92.82312
7467,-76.31065,-87.620445
4789,-79.04176,-93.90442
9801,-78.93991,-89.222115
17621,-80.990814,-86.88532
9818,-77.51411,-87.10766
65120,-77.02937,-86.95044
3460,-74.723885,-88.16043
17620,-80.58561,-85.813255
4813,-76.322685,-86.225266
7639,-79.59999,-87.002945
9407,-78.57924,-94.90024
7640,-79.47172,-92.410286
9819,-79.45051,-86.823105
9939,-79.63901,-91.26671
17430,-80.672646,-86.89593
9817,-78.40686,-87.116425
9809,-78.787704,-87.36404
17432,-80.70646,-86.404976
9812,-81.002426,-86.02721
9813,-80.99913,-86.44953
9803,-78.30716,-87.7538
9806,-78.6061,-87.65034
9814,-78.28352,-87.331955
9394,-76.279465,-86.62561
17622,-80.85947,-86.152176
9395,-78.35415,-87.71729
9810,-80.38017,-85.986824
9307,-76.48172,-86.21273
9815,-78.42996,-87.13954
9406,-78.5634,-94.924164
9389,-76.27632,-86.452675
9805,-79.433105,-90.72598
7638,-79.408905,-90.580795
9816,-80.473755,-86.433586
